root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:06,715 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:09,236 | BTC/USD@29279.4719
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:12,326 | BTC/USD@29279.518
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:12,331 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:12,331 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:12,331 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:12,331 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:12,331 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:12,331 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:12,332 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:12,332 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:12,332 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:12,332 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:14,878 | BTC/USD@29279.518
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:17,953 | BTC/USD@29286.44417699
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:17,960 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:17,961 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:17,961 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:17,961 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:17,961 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:17,961 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:17,961 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:17,961 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:17,961 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:17,961 | == STOP LOSS 25 ==
root | <module> | 940 | INFO | 2023-04-10 18:42:17,961 |  Paso 1 Minuto-Refrescando Market Data
root | market_data | 585 | INFO | 2023-04-10 18:42:18,492 |  == Market Data Actualizada ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:21,015 | BTC/USD@29284.9005388
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:24,086 | BTC/USD@29284.9005388
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:24,090 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:24,090 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:24,091 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:24,091 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:24,091 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:24,091 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:24,091 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:24,091 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:24,091 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:24,091 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:26,615 | BTC/USD@29289.0616
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:29,687 | BTC/USD@29277.39
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:29,692 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:29,692 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:29,692 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:29,692 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:29,692 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:29,693 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:29,693 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:29,693 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:29,693 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:29,693 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:32,232 | BTC/USD@29277.39
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:35,285 | BTC/USD@29287.98874224
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:35,290 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:35,290 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:35,290 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:35,290 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:35,291 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:35,291 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:35,291 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:35,291 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:35,291 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:35,291 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:37,861 | BTC/USD@29288.8654
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:40,921 | BTC/USD@29288.8654
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:40,927 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:40,927 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:40,927 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:40,927 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:40,928 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:40,928 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:40,928 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:40,928 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:40,928 | == RSI_TARGET3 65 ==
